taxon,type
Sellaphora utermoehlii,benthic
Sellaphora verecundiae,benthic
Skabitschewski oestrupii,benthic
Stauroneis smithii,benthic
Stauroneis smithii var. elliptica,benthic
Stauroneis smithii var. incisa,benthic
Surirella bifrons,benthic
Surirella helevetica,benthic
Surirella spp.,benthic
Tryblionella angustata,benthic
Tryblionella apiculata,benthic
Tryblionella brunoi,benthic
Tryblionella hungarica,benthic
Tryblionella spp.,benthic
